#Tags 	 Time of Junk 
D11_a0.2_q1.00_m103_As	154.3648437500006
D11_a0.4_q1.00_m103_As	154.20984375000057
D11_a0.6_q1.00_m103_As	154.3648437500006
D11_a0.8_q1.00_m103_As	154.6748437500006
D6.2_q1_a-0.6_m100	307.80499999999506
D6.2_q1_a-0.8_m100	362.0449999999939
D10_q1.25_a0.2_m100	146.52499999999847
D10_q1.25_a0.4_m100	147.48499999999845
D10_q1.25_a0.6_m100	148.12499999999844
D10_q1.50_a0.6_m100	148.76499999999842
D10_q1.75_a0.2_m100	147.00499999999846
D10_q1.75_a0.4_m100	147.80499999999844
D10_q1.75_a0.6_m100	148.76499999999842
D11_q1.00_a0.5_m200	152.12249999999835
D12_q1.00_a0.60_m200	161.64249999999817
D10_q5.00_a-0.71_0.00_m240	167.00185333332837
D11_q2.50_a-0.6_m200	148.12249999999844
D9_q1.50_a0.1_m200	133.80249999999876
D11_q1.00_a0.00_0.20_m160	151.60312499999566
D11_q1.00_a0.3_m200	151.48249999999837
D11_q2.00_a0.60_m200	152.60249999999834
D11_q2.50_a-0.2_m200	148.6824999999984
D11_q4.00_a-0.8_0.0_m160	144.70312499999602
D10_q4.00_a0.2_0.0_m240	144.06857733332953
D11_q1.00_a0.2_m200	151.16249999999837
D11_q1.50_a0.4_m200	151.88249999999834
D10_q4.00_a0.6_0.0_m240	146.06857233332943
D11_q1.00_a0.7_m200	152.84249999999832
D10_q7.00_a0.40_0.00_m320	143.30156249999612
D11_q2.00_a-0.2_m200	149.0024999999984
D11_q3.00_a0.8_0.00_m200	152.12249999999835
D10_q3.00_a0.4_0.0_m240	144.8685753333295
D11_q3.00_a0.2_0.00_m200	149.80249999999842
D10_q5.00_a0.2_0.0_m240	144.06857733332953
D10_q3.00_a0.6_0.0_m240	145.40190733332946
D10_q5.00_a0.4_0.0_m240	144.6019093333295
D8_q3.00_a0.5_0.0_th000_ph000_m120	158.73760466666644
D10_q6.00_a0.40_0.00_m280	144.14421071428316
D10_q5.00_a0.6_0.0_m240	146.7352373333294
D10_q6.00_a0.60_0.00_m280	145.6299157142831
Lq_D6.2_q2.50_a0.6_th000_m140	157.17500001026798
D10_q5.00_a-0.73_0.00_m240	167.13518633332836
D10_q5.00_a-0.72_0.00_m240	167.13518633332836
D10_q5.00_a-0.69_0.00_m240	166.86852033332838
D10_q5.00_a-0.68_0.00_m240	166.86852033332838
D10_q5.00_a-0.69273917_0.00_m280	136.8305117142898
D09_q1.00_a0.35_Q20	143.16000000000258
D11_q1.50_a-0.6_m200	147.56249999999847
D11_q1.50_a-0.4_m200	148.44249999999843
D11_q2.00_a-0.6_m200	147.64249999999845
D11_q2.00_a-0.4_m200	148.52249999999844
D11_q1.50_a-0.2_m200	149.48249999999842
D11_q3.00_a-0.4_m200	147.96249999999844
D11_q3.00_a-0.2_m200	148.6824999999984
D11_q3.00_a-0.6_m200	147.48249999999845
D11_q1.00_a0.4_m200	151.80249999999836
D11_q1.00_a0.8_m200	153.64249999999834
D11_q2.00_a0.2_m160	151.9031249999956
D11_q2.00_a0.4_m160	152.90312499999555
D11_q2.50_a0.2_0.00_m160	151.70312499999562
D11_q1.00_a-0.2_m200	149.6424999999984
D11_q1.50_a0.2_m200	151.16249999999837
D11_q2.50_a0.4_0.00_m160	152.3031249999956
D11_q1.00_a0.00_0.40_m160	151.9031249999956
D11_q1.00_a0.00_0.60_m160	152.4031249999956
D11_q1.00_a0.20_0.40_m160	152.6031249999956
D11_q1.00_a0.20_0.60_m160	152.70312499999557
D11_q1.00_a-0.4_m200	149.24249999999842
D10_q4.00_a0.4_0.0_m240	144.7352423333295
D11_q1.00_a0.1_m200	150.68249999999838
D12_q2.00_a0.15_-0.60_m200	158.76249999999823
D12_q2.00_a0.30_0.00_m200	159.8024999999982
D11_q2.50_a-0.4_m200	148.12249999999844
D10_q6.00_a0.20_0.00_m280	143.2305277142902
D10_q7.00_a0.20_0.00_m320	142.40156249999617
D11_q1.00_a0.00_0.80_m160	152.8031249999956
D11_q1.00_a0.20_0.80_m160	153.30312499999553
D11_q2.00_a0.0_m200	149.96249999999839
D11_q3.00_a0.0_m200	149.24249999999842
D11_q1.50_a0.0_m200	150.3624999999984
D8.4_q10.00_a0.0_m400	153.80124999999833
D10_q5.00_a0.0_0.0_m240	143.00191333332958
D10_q6.00_a0.00_0.00_m280	141.9733817142901
D9_q1.8_a0.0_m160	134.3031249999966
D9_q2.3_a0.0_m160	134.7031249999966
D9_q2.7_a0.0_m160	134.90312499999658
D9_q2.9_a0.0_m160	135.0031249999966
D9_q4.5_a0.0_m160	162.00312499999507
D11_q1.75_a0.0_m200	150.1224999999984
D9_q1.4_a0.0_m160	134.60312499999662
D11_q1.25_a0.0_m200	150.3624999999984
D9_q3.1_a0.0_m160	135.0031249999966
D9_q3.2_a0.0_m160	135.0031249999966
D9_q3.4_a0.0_m160	135.0031249999966
D9_q3.9_a0.0_m160	161.30312499999508
D9_q3.7_a0.0_m160	134.7031249999966
D9_q3.8_a0.0_m160	134.60312499999662
D9_q4.3_a0.0_m160	161.6031249999951
D9_q4.4_a0.0_m160	161.70312499999505
D9_q4.1_a0.0_m160	161.4031249999951
D9_q4.2_a0.0_m160	161.4031249999951
EccQ_q7_c0.01_m320	142.60156249999616
D9_q5.5_a0.0_Q20	162.13846154299887
GW15_D12_q1.2_a0.0_m140	159.34642858196787
D9_q5.0_a0.0_Q24	161.000000042902
D10_a0.0_q1.15_m103_Qs	145.8398437500005
D10_a0.0_q1.30_m103_Qs	145.68484375000054
D10_a0.0_q1.45_m103_Qs	145.5298437500005
D10_a0.0_q1.60_m103_Qs	145.5298437500005
D10_a0.0_q1.90_m103_Qs	145.68484375000054
D10_a0.0_q2.05_m103_Qs	145.8398437500005
D10_a0.0_q2.20_m103_Qs	145.68484375000054
D10_a0.0_q2.35_m103_Qs	145.68484375000054
D11_q2.50_a0.0_m200	149.6424999999984
D9_q1.7_a0.0_m160	134.20312499999665
D9_q2.1_a0.0_m160	134.5031249999966
D9_q2.4_a0.0_m160	134.7031249999966
D9_q2.6_a0.0_m160	134.90312499999658
D9_q1.0_a0.0_m160	135.10312499999657
D9_q3.3_a0.0_m160	135.0031249999966
D11_q2.25_a0.0_m200	149.7224999999984
D9_q3.6_a0.0_m160	134.7031249999966
D9_q1.1_a0.0_m160	135.0031249999966
D9_q2.8_a0.0_m160	135.0031249999966
D9_q3.5_a0.0_m160	134.7031249999966
D11_q1.00_a0.0_m240	149.66875003733475
D11_q4.00_a0.0_m200	148.6824999999984
