#IDs	Tags	Time of Junk (Ylm)	Time of Junk (mp)	Time of Junk
GT0001	fr_b3.1_a0.4_oth.000_M77	134	missing	134
GT0002	fr_b3.1_a0.4_oth.045_M77	134	missing	134
GT0003	fr_b3.1_a0.4_oth.090_M77	134	missing	134
GT0004	fr_b3.1_a0.4_oth.135_M77	133	missing	133
GT0005	fr_b3.1_a0.4_oth.180_M77	134	missing	134
GT0006	fr_b3.1_a0.4_oth.225_M77	134	missing	134
GT0007	fr_b3.1_a0.4_oth.270_M77	134	missing	134
GT0008	fr_b3.1_a0.4_oth.315_M77	135	missing	135
GT0009	fr_b3.1_a0.2_oth.000_M77	134	missing	134
GT0010	fr_b3.1_a0.2_oth.045_M77	134	missing	134
GT0011	fr_b3.1_a0.2_oth.090_M77	134	missing	134
GT0012	fr_b3.1_a0.2_oth.135_M77	133	missing	133
GT0013	fr_b3.1_a0.2_oth.180_M77	134	missing	134
GT0014	fr_b3.1_a0.2_oth.225_M77	134	missing	134
GT0015	fr_b3.1_a0.2_oth.270_M77	134	missing	134
GT0016	fr_b3.1_a0.2_oth.315_M77	135	missing	135
GT0203	fr_b5_a0.6_oth.045_M77	187	missing	187
GT0204	fr_b5_a0.6_oth.090_M77	186	missing	186
GT0205	fr_b5_a0.6_oth.135_M77	183	missing	183
GT0206	fr_b5_a0.6_oth.180_M77	184	missing	184
GT0207	fr_b5_a0.6_oth.225_M77	185	missing	185
GT0208	fr_b5_a0.6_oth.270_M77	186	missing	186
GT0209	fr_b5_a0.6_oth.315_M77	187	missing	187
GT0227	fr_b5_a0.6_oth.240_M77	185	missing	185
GT0229	fr_b5_a0.6_oth.255_M77	186	missing	186
GT0255	fr_b3.1_a0.6_oth.015_rr_M77	135	missing	135
GT0256	fr_b3.1_a0.6_oth.030_rr_M77	135	missing	135
GT0258	fr_b3.1_a0.6_oth.060_rr_M77	135	missing	135
GT0259	fr_b3.1_a0.6_oth.075_rr_M77	135	missing	135
GT0261	fr_b3.1_a0.6_oth.105_rr_M77	134	missing	134
GT0262	fr_b3.1_a0.6_oth.120_rr_M77	133	missing	133
GT0264	fr_b3.1_a0.6_oth.150_rr_M77	133	missing	133
GT0265	fr_b3.1_a0.6_oth.165_rr_M77	133	missing	133
GT0267	fr_b3.1_a0.6_oth.195_rr_M77	133	missing	133
GT0272	fr_b3.1_a0.6_oth.250_rr_M77	134	missing	134
GT0275	fr_b3.1_a0.6_oth.265_rr_M77	134	missing	134
GT0277	fr_b3.1_a0.6_oth.285_rr_M77	135	missing	135
GT0278	fr_b3.1_a0.6_oth.300_rr_M77	134	missing	134
GT0280	fr_b3.1_a0.6_oth.330_rr_M77	135	missing	135
GT0281	fr_b3.1_a0.6_oth.345_rr_M77	135	missing	135
GT0282	fr_b3.1_a0.4_oth.247_M77	134	missing	134
GT0283	fr_b3.1_a0.4_oth.255_M77	134	missing	134
GT0284	fr_b3.1_a0.6_oth.235_rr_M77	133	missing	133
GT0285	fr_b3.1_a0.6_oth.230_rr_M77	133	missing	133
GT0286	fr_b3.1_a0.6_oth.220_rr_M77	134	missing	134
GT0287	fr_b3.1_a0.6_oth.215_rr_M77	133	missing	133
GT0304	fr_b5_a0.6_oth.000_M90	187	missing	187
GT0308	fr_b5_a0.6_oth.210_M77	184	missing	184
GT0311	fr_b5_a0.6_oth.245_M77	186	missing	186
GT0314	fr_b5_a0.6_oth.260_M77	187	missing	187
GT0355	D11_a0.2_q1.00_m103_As	139	missing	139
GT0356	D11_a0.4_q1.00_m103_As	138	missing	138
GT0357	D11_a0.6_q1.00_m103_As	139	missing	139
GT0358	D11_a0.8_q1.00_m103_As	200	missing	200
GT0370	D10_a0.0_q1.15_m103_Qs	130	missing	130
GT0371	D10_a0.0_q1.30_m103_Qs	130	missing	130
GT0372	D10_a0.0_q1.45_m103_Qs	130	missing	130
GT0374	D10_a0.0_q1.60_m103_Qs	129	missing	129
GT0376	D10_a0.0_q1.90_m103_Qs	184	missing	184
GT0378	D10_a0.0_q2.05_m103_Qs	185	missing	185
GT0379	D10_a0.0_q2.20_m103_Qs	184	missing	184
GT0380	D10_a0.0_q2.35_m103_Qs	185	missing	185
GT0382	fr_b3.1_a0.8_oth.000_M77	135	missing	135
GT0384	fr_b3.1_a0.8_oth.030_M77	135	missing	135
GT0385	fr_b3.1_a0.8_oth.060_M77	134	missing	134
GT0388	fr_b3.1_a0.8_oth.090_M77	134	missing	134
GT0389	D6.2_q1_a-0.6_m100	128	missing	128
GT0390	fr_b3.1_a0.8_oth.120_M77	134	missing	134
GT0391	fr_b3.1_a0.8_oth.150_M77	132	missing	132
GT0392	D6.2_q1_a-0.8_m100	126	missing	126
GT0393	fr_b3.1_a0.8_oth.180_M77	133	missing	133
GT0395	fr_b3.1_a0.8_oth.210_M77	133	missing	133
GT0396	fr_b3.1_a0.8_oth.240_M77	134	missing	134
GT0397	fr_b3.1_a0.8_oth.255_M77	134	missing	134
GT0398	fr_b3.1_a0.8_oth.270_M77	133	missing	133
GT0400	fr_b3.1_a0.8_oth.300_M77	135	missing	135
GT0401	fr_b3.1_a0.8_oth.330_M77	135	missing	135
GT0405	D10_q1.25_a0.2_m100	131	missing	131
GT0406	D10_q1.25_a0.4_m100	186	missing	186
GT0407	D10_q1.25_a0.6_m100	186	missing	186
GT0411	D10_q1.50_a0.6_m100	187	missing	187
GT0413	D10_q1.75_a0.2_m100	186	missing	186
GT0414	D10_q1.75_a0.4_m100	186	missing	186
GT0415	D10_q1.75_a0.6_m100	186	missing	186
GT0420	D11_q1.00_a0.2_m200	139	missing	139
GT0422	D11_q1.00_a0.4_m200	139	missing	139
GT0424	D11_q1.00_a0.8_m200	140	missing	140
GT0428	Sq2_d6.2_a0.6_oth.000_rr_M140	missing	missing	136
GT0430	Sq4_d9_a0.6_oth.000_rr_M140	172	missing	172
GT0431	Sq2_d6.2_a0.6_oth.030_rr_M140	135	missing	135
GT0432	Sq4_d6.2_a0.6_oth.030_rr_M140	136	missing	136
GT0433	Sq4_d9_a0.6_oth.090_rr_M140	172	missing	172
GT0434	Sq2_d6.2_a0.6_oth.090_rr_M140	134	missing	134
GT0435	Sq4_d9_a0.6_oth.150_rr_M140	168	missing	168
GT0437	Sq2_d6.2_a0.6_oth.150_rr_M140	133	missing	133
GT0438	Sq4_d9_a0.6_oth.180_rr_M140	169	missing	169
GT0440	Sq2_d6.2_a0.6_oth.180_rr_M140	133	missing	133
GT0441	Sq4_d9_a0.6_oth.210_rr_M140	168	missing	168
GT0443	Sq2_d6.2_a0.6_oth.270_rr_M140	135	missing	135
GT0446	D11_q2.00_a0.0_m200	139	missing	139
GT0448	D11_q1.00_a0.0_m240	139	missing	139
GT0453	D11_q3.00_a0.0_m200	140	missing	140
GT0454	D11_q4.00_a0.0_m200	202	missing	202
GT0455	RO3_D10_q1.50_a0.60_oth.045_M120	188	missing	188
GT0456	RO3_D10_q1.50_a0.40_oth.060_M120	188	missing	188
GT0457	RO3_D10_q1.50_a0.60_oth.060_M120	188	missing	188
GT0458	RO3_D10_q2.00_a0.40_oth.060_M120	187	missing	187
GT0459	RO3_D10_q2.50_a0.40_oth.045_M120	187	missing	187
GT0460	RO3_D10_q2.00_a0.60_oth.045_M120	187	missing	187
GT0461	RO3_D10_q2.00_a0.60_oth.060_M120	188	missing	188
GT0462	RO3_D10_q2.50_a0.40_oth.060_M120	187	missing	187
GT0463	RO3_D10_q2.00_a0.60_oth.090_M120	186	missing	186
GT0464	RO3_D10_q2.50_a0.40_oth.090_M120	186	missing	186
GT0465	RO3_D10_q2.50_a0.60_oth.045_M120	187	missing	187
GT0466	RO3_D10_q2.50_a0.60_oth.060_M120	188	missing	188
GT0467	RO3_D10_q2.50_a0.60_oth.090_M120	187	missing	187
GT0468	RO3_D10_q4.00_a0.60_oth.045_M120	188	missing	188
GT0469	RO3_D10_q4.00_a0.60_oth.060_M120	187	missing	187
GT0470	RO3_D10_q4.00_a0.60_oth.090_M120	186	missing	186
GT0471	D11_q2.00_a0.2_m160	140	missing	140
GT0472	D11_q2.00_a0.4_m160	140	missing	140
GT0475	D11_q2.50_a0.2_0.00_m160	201	missing	201
GT0476	D11_q1.00_a-0.2_m200	138	missing	138
GT0477	D11_q1.50_a0.0_m200	138	missing	138
GT0478	RO3_D10_q4.00_a0.40_oth.060_M120	189	missing	189
GT0479	D11_q1.50_a0.2_m200	139	missing	139
GT0480	D11_q2.50_a0.4_0.00_m160	203	missing	203
GT0482	EK_D6.2_a0.6_th030_M77	135	missing	135
GT0483	EK_D6.2_a0.6_th045_M77	135	missing	135
GT0484	EK_D6.2_a0.6_th060_M77	134	missing	134
GT0485	EK_D6.2_a0.6_th090_M77	134	missing	134
GT0486	EK_D6.2_a0.6_th120_M77	135	missing	135
GT0487	EK_D6.2_a0.6_th150_M77	134	missing	134
GT0489	EK_D6.2_a0.6_th210_M77	135	missing	135
GT0490	EK_D6.2_a0.6_th240_M77	134	missing	134
GT0491	EK_D6.2_a0.6_th270_M77	135	missing	135
GT0492	EK_D6.2_a0.6_th300_M77	135	missing	135
GT0493	EK_D6.2_a0.6_th330_M77	135	missing	135
GT0500	LZ_D6.2_a0.6_th034_ph000_M77	136	missing	136
GT0501	LZ_D6.2_a0.6_th034_ph030_M77	136	missing	136
GT0502	LZ_D6.2_a0.6_th034_ph045_M77	135	missing	135
GT0503	LZ_D6.2_a0.6_th034_ph060_M77	136	missing	136
GT0504	LZ_D6.2_a0.6_th034_ph090_M77	135	missing	135
