ID 	 Tag 	 Time  
GT0355	D11_a0.2_q1.00_m103_As	154.3648437500006
GT0356	D11_a0.4_q1.00_m103_As	154.20984375000057
GT0357	D11_a0.6_q1.00_m103_As	154.3648437500006
GT0358	D11_a0.8_q1.00_m103_As	154.6748437500006
GT0389	D6.2_q1_a-0.6_m100	307.80499999999506
GT0392	D6.2_q1_a-0.8_m100	362.0449999999939
GT0405	D10_q1.25_a0.2_m100	146.52499999999847
GT0406	D10_q1.25_a0.4_m100	147.48499999999845
GT0407	D10_q1.25_a0.6_m100	148.12499999999844
GT0411	D10_q1.50_a0.6_m100	148.76499999999842
GT0413	D10_q1.75_a0.2_m100	147.00499999999846
GT0414	D10_q1.75_a0.4_m100	147.80499999999844
GT0415	D10_q1.75_a0.6_m100	148.76499999999842
GT0580	D11_q1.00_a0.5_m200	152.12249999999835
GT0584	D12_q1.00_a0.60_m200	161.64249999999817
GT0768	D10_q5.00_a-0.71_0.00_m240	167.00185333332837
GT0845	D11_q2.50_a-0.6_m200	148.12249999999844
GT0543	D9_q1.50_a0.1_m200	133.80249999999876
GT0546	D11_q1.00_a0.00_0.20_m160	151.60312499999566
GT0579	D11_q1.00_a0.3_m200	151.48249999999837
GT0588	D11_q2.00_a0.60_m200	152.60249999999834
GT0843	D11_q2.50_a-0.2_m200	148.6824999999984
GT0566	D11_q4.00_a-0.8_0.0_m160	144.70312499999602
GT0570	D10_q4.00_a0.2_0.0_m240	144.06857733332953
GT0420	D11_q1.00_a0.2_m200	151.16249999999837
GT0558	D11_q1.50_a0.4_m200	151.88249999999834
GT0578	D10_q4.00_a0.6_0.0_m240	146.06857233332943
GT0583	D11_q1.00_a0.7_m200	152.84249999999832
GT0740	D10_q7.00_a0.40_0.00_m320	143.30156249999612
GT0844	D11_q2.00_a-0.2_m200	149.0024999999984
GT0590	D11_q3.00_a0.8_0.00_m200	152.12249999999835
GT0596	D10_q3.00_a0.4_0.0_m240	144.8685753333295
GT0598	D11_q3.00_a0.2_0.00_m200	149.80249999999842
GT0599	D10_q5.00_a0.2_0.0_m240	144.06857733332953
GT0600	D10_q3.00_a0.6_0.0_m240	145.40190733332946
GT0602	D10_q5.00_a0.4_0.0_m240	144.6019093333295
GT0603	D8_q3.00_a0.5_0.0_th000_ph000_m120	158.73760466666644
GT0610	D10_q6.00_a0.40_0.00_m280	144.14421071428316
GT0611	D10_q5.00_a0.6_0.0_m240	146.7352373333294
GT0612	D10_q6.00_a0.60_0.00_m280	145.6299157142831
GT0676	Lq_D6.2_q2.50_a0.6_th000_m140	157.17500001026798
GT0765	D10_q5.00_a-0.73_0.00_m240	167.13518633332836
GT0769	D10_q5.00_a-0.72_0.00_m240	167.13518633332836
GT0770	D10_q5.00_a-0.69_0.00_m240	166.86852033332838
GT0771	D10_q5.00_a-0.68_0.00_m240	166.86852033332838
GT0779	D10_q5.00_a-0.69273917_0.00_m280	136.8305117142898
GT0830	D09_q1.00_a0.35_Q20	143.16000000000258
GT0835	D11_q1.50_a-0.6_m200	147.56249999999847
GT0836	D11_q1.50_a-0.4_m200	148.44249999999843
GT0837	D11_q2.00_a-0.6_m200	147.64249999999845
GT0838	D11_q2.00_a-0.4_m200	148.52249999999844
GT0839	D11_q1.50_a-0.2_m200	149.48249999999842
GT0841	D11_q3.00_a-0.4_m200	147.96249999999844
GT0842	D11_q3.00_a-0.2_m200	148.6824999999984
GT0846	D11_q3.00_a-0.6_m200	147.48249999999845
GT0422	D11_q1.00_a0.4_m200	151.80249999999836
GT0424	D11_q1.00_a0.8_m200	153.64249999999834
GT0471	D11_q2.00_a0.2_m160	151.9031249999956
GT0472	D11_q2.00_a0.4_m160	152.90312499999555
GT0475	D11_q2.50_a0.2_0.00_m160	151.70312499999562
GT0476	D11_q1.00_a-0.2_m200	149.6424999999984
GT0479	D11_q1.50_a0.2_m200	151.16249999999837
GT0480	D11_q2.50_a0.4_0.00_m160	152.3031249999956
GT0547	D11_q1.00_a0.00_0.40_m160	151.9031249999956
GT0548	D11_q1.00_a0.00_0.60_m160	152.4031249999956
GT0549	D11_q1.00_a0.20_0.40_m160	152.6031249999956
GT0554	D11_q1.00_a0.20_0.60_m160	152.70312499999557
GT0564	D11_q1.00_a-0.4_m200	149.24249999999842
GT0573	D10_q4.00_a0.4_0.0_m240	144.7352423333295
GT0574	D11_q1.00_a0.1_m200	150.68249999999838
GT0582	D12_q2.00_a0.15_-0.60_m200	158.76249999999823
GT0587	D12_q2.00_a0.30_0.00_m200	159.8024999999982
GT0840	D11_q2.50_a-0.4_m200	148.12249999999844
GT0608	D10_q6.00_a0.20_0.00_m280	143.2305277142902
GT0688	D10_q7.00_a0.20_0.00_m320	142.40156249999617
GT0551	D11_q1.00_a0.00_0.80_m160	152.8031249999956
GT0555	D11_q1.00_a0.20_0.80_m160	153.30312499999553
GT0446	D11_q2.00_a0.0_m200	149.96249999999839
GT0453	D11_q3.00_a0.0_m200	149.24249999999842
GT0477	D11_q1.50_a0.0_m200	150.3624999999984
GT0568	D8.4_q10.00_a0.0_m400	153.80124999999833
GT0577	D10_q5.00_a0.0_0.0_m240	143.00191333332958
GT0604	D10_q6.00_a0.00_0.00_m280	141.9733817142901
GT0618	D9_q1.8_a0.0_m160	134.3031249999966
GT0621	D9_q2.3_a0.0_m160	134.7031249999966
GT0650	D9_q2.7_a0.0_m160	134.90312499999658
GT0654	D9_q2.9_a0.0_m160	135.0031249999966
GT0656	D9_q4.5_a0.0_m160	162.00312499999507
GT0727	D11_q1.75_a0.0_m200	150.1224999999984
GT0730	D9_q1.4_a0.0_m160	134.60312499999662
GT0738	D11_q1.25_a0.0_m200	150.3624999999984
GT0758	D9_q3.1_a0.0_m160	135.0031249999966
GT0759	D9_q3.2_a0.0_m160	135.0031249999966
GT0761	D9_q3.4_a0.0_m160	135.0031249999966
GT0777	D9_q3.9_a0.0_m160	161.30312499999508
GT0778	D9_q3.7_a0.0_m160	134.7031249999966
